Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.4032504	0.30802423	0.22631527	-0.77339613	500.0	0.22353828	0.056569904	0.33288327	0.032420427	5000	1.859665e-08	0.11875187	-0.0208912	-0.108468555	0.91894126	0.009976326	0.1702	79.0	8.741721868515015
1	-0.54704416	0.17944725	-0.2919867	-0.96636206	500.0	-0.09223112	0.049622312	-0.0476404	-0.17894192	10000	6.16014e-09	0.0100401165	-0.020454653	-0.0032139882	0.9167971	0.015178126	0.1812	60.0	14.636389017105103
2	-0.36818805	0.31061456	0.13022554	-0.97839683	500.0	-0.12650996	0.06960432	0.005190462	-0.3091288	15000	-1.3053417e-08	0.011118036	-0.02265822	-0.0010154257	0.9150351	0.011897541	0.194	79.0	21.033042192459106
3	-0.2326406	0.3134058	0.17172019	-0.8314331	500.0	-0.10296465	0.06741956	0.024288297	-0.28799796	20000	6.1929226e-09	0.010443979	-0.023219727	-0.0013602264	0.90834624	0.01187717	0.1764	79.0	27.31247615814209
4	-0.43973857	0.21770018	-0.058719296	-0.7220691	500.0	-0.07936128	0.050825603	0.02269537	-0.23598528	25000	-1.0088831e-08	0.009258126	-0.024141558	-0.0018468183	0.9026847	0.013013608	0.1902	79.0	33.592449426651
5	-0.33629507	0.20195948	-0.123666696	-0.69836015	500.0	-0.11307667	0.05550394	0.014902316	-0.29229888	30000	3.6090613e-09	0.009704985	-0.022258352	-0.0025955709	0.8979596	0.012350707	0.1688	79.0	39.80938911437988
6	-0.26108018	0.22134173	0.23671664	-0.5341891	500.0	-0.08190197	0.061776407	0.043058284	-0.26294062	35000	-1.5434622e-08	0.006838796	-0.0230235	-0.0006441828	0.89478743	0.007694971	0.1742	79.0	46.143592834472656
7	-0.42443666	0.26310197	-0.07732593	-0.9257258	500.0	-0.08323369	0.07124881	0.048521392	-0.30514467	40000	2.0951032e-09	0.008742756	-0.0062375516	-0.0007064529	0.89149344	0.01863	0.1708	3.0	51.025261878967285
8	-0.2974535	0.37122995	0.4285389	-0.8539977	500.0	-0.1013857	0.06470368	0.024677247	-0.31230515	45000	6.748736e-09	0.011112427	-0.021296555	-0.0007384028	0.8915931	0.015228958	0.167	33.0	56.32304072380066
9	-0.09355489	0.102664396	0.054893203	-0.2856609	500.0	-0.08610412	0.07434822	0.025589876	-0.30982316	50000	-1.5336274e-08	0.00907578	-0.018834136	-0.0029259762	0.88829607	0.015086539	0.1524	41.0	61.8803277015686
10	-0.2046167	0.26495796	0.08570947	-0.7912665	500.0	-0.050902184	0.06522804	0.083554424	-0.2816591	55000	-1.3072789e-08	0.008130433	-0.021410799	-0.0009548203	0.88578	0.015063718	0.1932	27.0	67.1521463394165
11	-0.1032539	0.25322685	0.37856913	-0.55207866	500.0	-0.06734486	0.065788895	0.05766052	-0.27091506	60000	1.1253357e-08	0.0077738236	-0.023808975	-0.0006646975	0.8819596	0.0066951714	0.1692	79.0	73.56882643699646
12	-0.04532495	0.2796336	0.42159995	-0.5471206	500.0	-0.06098091	0.058885638	0.12739666	-0.2518367	65000	4.902482e-09	0.0070534325	-0.02266227	-0.0008243746	0.88406795	0.016262414	0.1936	36.0	78.97749876976013
13	-0.16606048	0.1845443	0.15218452	-0.4973681	500.0	-0.05588695	0.07008549	0.16836284	-0.25937805	70000	1.4179945e-08	0.007591208	-0.026287084	-0.0013485835	0.8849285	0.013395033	0.1984	79.0	85.30637216567993
14	-0.011895369	0.16148935	0.32815936	-0.23948683	500.0	-0.07541078	0.078169554	0.133493	-0.31392497	75000	4.5984985e-09	0.0067415335	-0.016419433	-0.0011186805	0.88384134	0.015051141	0.1718	15.0	90.23059272766113
15	0.0115439985	0.19230317	0.37558082	-0.28656393	500.0	-0.050624687	0.06575209	0.16739929	-0.24802214	80000	2.990663e-08	0.0056181885	-0.020745954	-0.00062006246	0.8853136	0.016788842	0.2034	47.0	95.79730749130249
16	-0.02247099	0.28248343	0.43892097	-0.46961176	500.0	-0.04356024	0.062821515	0.17865673	-0.23452556	85000	2.8161333e-08	0.0075645577	-0.013814481	-0.00048092753	0.8857691	0.015339943	0.193	13.0	100.75889563560486
17	0.08623856	0.17570782	0.34574437	-0.23743239	500.0	-0.042560663	0.060742415	0.16028598	-0.23345286	90000	1.9162893e-09	0.006929142	-0.0053420947	-0.000582546	0.88453853	0.015593467	0.2082	3.0	105.42449188232422
18	-0.02942579	0.23665914	0.31326994	-0.4858429	500.0	-0.030788207	0.066336945	0.19733521	-0.21455681	95000	-1.3716519e-08	0.0068612588	-0.021495806	-0.00051059294	0.88434166	0.010970026	0.1764	79.0	111.65906190872192
19	0.23018649	0.2054034	0.4921009	-0.19762915	500.0	-0.04885371	0.0671899	0.1547459	-0.24778408	100000	3.7619472e-08	0.006506254	-0.023272512	-0.0013551675	0.8795407	0.008714969	0.179	79.0	117.93801403045654
20	0.27286857	0.13554275	0.4917539	0.020265473	500.0	-0.015300378	0.0698904	0.23946127	-0.20096242	105000	2.6921928e-08	0.0056060236	-0.015383221	-0.0005135513	0.8776116	0.015722	0.2166	30.0	123.37744641304016
21	0.18965712	0.25027552	0.7058792	-0.18259396	500.0	-0.0066457344	0.06637685	0.26841423	-0.18287164	110000	-5.659908e-08	0.0070835417	-0.014401432	-0.0003504171	0.8747016	0.017586162	0.217	27.0	128.46122694015503
22	0.17439237	0.24956323	0.5587053	-0.29381984	500.0	-0.008684868	0.06891829	0.23935068	-0.20317969	115000	3.256537e-08	0.006198403	-0.02407754	-0.00018710038	0.8717732	0.010749719	0.19	79.0	134.74051642417908
23	0.25142485	0.27770406	0.80505544	-0.1443892	500.0	-0.0132842865	0.06716631	0.23404562	-0.20536678	120000	1.9432605e-08	0.007155924	-0.02423699	-0.00057888404	0.8663405	0.009190463	0.1664	79.0	141.1467318534851
24	0.30948836	0.22557639	0.6629786	-0.067994125	500.0	-0.006652679	0.071447276	0.2858764	-0.18543178	125000	-1.4614314e-08	0.006034846	-0.0032089155	-0.00048219645	0.8663012	0.016555503	0.176	3.0	145.8278148174286
25	0.44135198	0.28124338	0.86355984	-0.21884556	500.0	0.0055705514	0.07891332	0.28800243	-0.19500288	130000	3.1656338e-08	0.008737653	-0.017100953	-0.0007055821	0.86627835	0.015848147	0.185	21.0	150.81717491149902
26	0.2766132	0.17549406	0.4886779	-0.13917278	500.0	0.016946986	0.076919004	0.35114002	-0.16152547	135000	-3.3864378e-08	0.0046454254	-0.017371882	-0.0006776345	0.86393857	0.01755377	0.1896	25.0	155.9598422050476
27	0.5431315	0.26036426	0.8621375	-0.10653732	500.0	-0.0042009735	0.073131	0.29244602	-0.19027026	140000	-3.6925076e-08	0.008616536	-0.020870201	-0.002564563	0.8578342	0.0154951615	0.1934	45.0	161.5039186477661
28	0.55032295	0.1837814	0.91365176	0.24603397	500.0	0.043687638	0.08076419	0.3495731	-0.13896951	145000	2.2624434e-08	0.0055517345	0.00016944706	-0.0006644316	0.85552365	0.02158914	0.2574	1.0	166.16321277618408
