Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.42424035	0.1974937	-0.09526546	-0.76357406	500.0	0.1577556	0.009354173	0.1758539	0.12386163	5000	4.1675566e-08	0.062223125	-0.009411019	-0.049878962	0.9189386	0.0059716185	0.0626	79.0	1.5331339836120605
1	-0.4518973	0.20763344	0.070750155	-0.7372328	500.0	-0.05981521	0.034250107	0.049579337	-0.11363186	10000	1.335144e-09	0.011665855	-0.01195458	-0.0017085597	0.9128541	0.0054596746	0.0844	79.0	2.81317400932312
2	-0.34271163	0.24819411	0.050549336	-0.7021576	500.0	-0.066200644	0.05831503	0.08567306	-0.19261248	15000	1.0299683e-08	0.009508355	-0.013427321	-0.00068695564	0.9125881	0.0050231093	0.1096	79.0	4.07237696647644
3	-0.31424674	0.20663437	0.004507981	-0.7238292	500.0	-0.049592737	0.05582695	0.087974176	-0.1958355	20000	-9.155274e-09	0.009475233	-0.012668332	0.00078873336	0.9102623	0.0076773446	0.1006	79.0	5.428459167480469
4	-0.37057394	0.24258806	-0.032405127	-0.83541715	500.0	-0.021485673	0.062407743	0.13548225	-0.17414889	25000	1.0681152e-08	0.013476181	-0.013492326	-0.002665503	0.9064252	0.011996492	0.106	79.0	6.741540908813477
5	-0.4053381	0.18814686	0.059763636	-0.66838205	500.0	-0.059622142	0.06342214	0.11845629	-0.22760922	30000	5.722046e-09	0.008999451	-0.0131312385	-0.00030676275	0.90537536	0.01073491	0.1162	79.0	8.27783203125
6	-0.45756474	0.18718763	-0.16369028	-0.7703265	500.0	-0.06729535	0.06988197	0.122195706	-0.26118213	35000	-3.8146974e-09	0.010378471	-0.013212432	-0.0005206829	0.9070493	0.007144016	0.1074	79.0	9.567572116851807
7	-0.14715718	0.18832092	0.23495924	-0.49793166	500.0	-0.08258766	0.069316514	0.100129195	-0.26992077	40000	-9.918213e-09	0.012948607	-0.01474988	-0.004426698	0.90544546	0.008098031	0.107	79.0	10.80420207977295
8	-0.23155391	0.32386142	0.29162088	-0.75572526	500.0	-0.017430304	0.06346114	0.14985937	-0.1913426	45000	-4.196167e-09	0.0110707255	-0.015593999	-0.0005283896	0.89994174	0.010376233	0.129	79.0	12.020714044570923
9	-0.16369775	0.24713519	0.10728955	-0.68384993	500.0	-0.031868566	0.06065114	0.11275313	-0.21691611	50000	-1.1825562e-08	0.009064517	-0.014837549	-0.00031391624	0.8938	0.011808391	0.1114	79.0	13.24214482307434
