,CORN
2015-06-19,0.9975
2015-06-24,0.9953534894374338
2015-06-29,0.9661038108881181
2015-07-02,0.9763282614013762
2015-07-08,0.9560767746742873
2015-07-13,0.9850641234901502
2015-07-16,1.0019639391847632
2015-07-21,1.0232052038162565
2015-07-24,1.0111985573044702
2015-07-29,1.010396352261087
2015-08-03,1.0219137246696586
2015-08-06,1.0062185829958685
2015-08-11,1.0749403183572244
2015-08-14,1.0694883809860016
2015-08-19,1.0488901324684383
2015-08-24,0.9411502293402814
2015-08-27,0.9936712290998254
2015-09-01,0.9518249746266708
2015-09-04,0.9534500507404933
2015-09-10,0.9576632734213373
2015-09-15,0.9680628461826241
2015-09-18,1.0012168257722005
2015-09-23,0.9884846042141654
2015-09-28,0.9963709922521374
2015-10-01,1.024156155160309
2015-10-06,1.0911055438716561
2015-10-09,1.099141589168548
2015-10-14,1.1038367644804865
2015-10-19,1.116382014550511
2015-10-22,1.137855108674665
2015-10-27,1.2145304905631016
2015-10-30,1.2379073351880134
2015-11-04,1.2169562880610825
2015-11-09,1.238340219790706
2015-11-12,1.2130383865702383
2015-11-17,1.2130383865702383
2015-11-20,1.2571839735485755
2015-11-25,1.2405369993973883
2015-12-01,1.2411334432089562
2015-12-04,1.2726354943438436
2015-12-09,1.251494370738314
2015-12-14,1.239907239274615
2015-12-17,1.2494556401062216
2015-12-22,1.2522870188096722
2015-12-28,1.2686669292389194
2015-12-31,1.2554672805605194
2016-01-06,1.1692731334557096
2016-01-11,1.0951635416416459
2016-01-14,1.112800252076733
2016-01-20,1.061278415501664
2016-01-25,1.101699968751791
2016-01-28,1.0819201514028989
2016-02-02,1.0835392587967108
2016-02-05,1.0205966717746546
2016-02-10,0.981981587712046
2016-02-16,1.0393786976165014
2016-02-19,1.0365440284411838
2016-02-24,1.022206036168171
2016-02-29,1.0143046218831127
2016-03-03,1.0560282495052304
2016-03-08,1.0217841481526002
2016-03-11,1.0388363770913551
2016-03-16,1.0420984593684999
2016-03-21,1.0275397590888582
2016-03-24,1.057601789214308
2016-03-30,1.063808196218736
2016-04-04,1.0649981382726765
2016-04-07,1.0487212184023975
2016-04-12,1.0641908449305164
2016-04-15,1.1024945890700475
2016-04-20,1.082303468128272
2016-04-25,1.0768919507876307
2016-04-28,1.0595650817741522
2016-05-03,1.04112513698083
2016-05-06,1.0291295346544387
2016-05-11,1.0824359633620106
2016-05-16,1.2644672599417703
2016-05-19,1.3052275224096694
2016-05-24,1.362921276270482
2016-05-27,1.3791465295594356
2016-06-02,1.4093224960003223
2016-06-07,1.3936108260175173
2016-06-10,1.3730705570889234
2016-06-15,1.359259140039563
2016-06-20,1.3649992546512044
2016-06-23,1.3916907875954105
2016-06-28,1.3173563033744913
2016-07-01,1.3391687388987616
2016-07-07,1.3961551617345995
2016-07-12,1.4386525705550341
2016-07-15,1.435927849777446
2016-07-20,1.477343605596458
2016-07-25,1.5095389063041835
2016-07-28,1.520168695842253
2016-08-02,1.5163804506052085
2016-08-05,1.5748276628340907
2016-08-10,1.5817371364316417
2016-08-15,1.6770234975603777
2016-08-18,1.65359096853763
2016-08-23,1.6698306431259855
2016-08-26,1.6757548242390494
2016-08-31,1.6436851947591382
2016-09-06,1.6773761894686323
2016-09-09,1.5737998042329813
2016-09-14,1.5678878582085687
2016-09-19,1.6527718531811046
2016-09-22,1.6866260970002638
2016-09-27,1.7226625302302538
2016-09-30,1.7739230022749772
2016-10-05,1.7632696742968468
2016-10-10,1.7400811518272814
2016-10-13,1.7058124830397536
2016-10-18,1.7387019050539765
2016-10-21,1.7629774308263941
2016-10-26,1.8825442830566328
2016-10-31,1.8501327068102595
2016-11-03,1.7580992644892075
2016-11-08,1.8049844365730114
2016-11-11,1.6848391504023643
2016-11-16,1.754937039347139
2016-11-21,1.7807928180562838
2016-11-25,1.8060794453652937
2016-11-30,1.7596423347320171
2016-12-05,1.7713484329051172
2016-12-08,1.8021947269043201
2016-12-13,1.7576603899429601
2016-12-16,1.9357977377884585
2016-12-21,2.0402895587108576
2016-12-27,2.261804507492597
2016-12-30,2.047544221480655
2017-01-05,2.0512028234200446
2017-01-10,2.1465654079962233
2017-01-13,2.0852752902135876
2017-01-19,2.120154205925384
2017-01-24,2.1639040597373653
2017-01-27,2.2534198896564566
2017-02-01,2.297371355697951
2017-02-06,2.3651130648260104
2017-02-09,2.3463631274780763
2017-02-14,2.1821721438566812
2017-02-17,2.193794488863952
2017-02-23,2.0482084862223893
2017-02-28,2.0208685958546577
2017-03-03,1.9601310198066075
2017-03-08,1.952906235350792
2017-03-13,1.9524861481129823
2017-03-16,1.9900597647090437
2017-03-21,2.0201656250065065
2017-03-24,2.0158098824607964
2017-03-29,2.0133714783970964
2017-04-03,2.0328787109061337
2017-04-06,1.8805009652736027
2017-04-11,1.8683385873408478
2017-04-17,1.85823463892858
2017-04-20,1.8962495166573596
2017-04-25,1.9614178784781193
2017-04-28,1.953178200546647
2017-05-03,1.9515559717610387
2017-05-08,1.9256544485475828
2017-05-11,2.3067141872794514
2017-05-16,2.4947159522664335
2017-05-19,2.4736917589818286
2017-05-24,2.5189656536156506
2017-05-30,2.5621276977281258
2017-06-02,2.5403742838521577
2017-06-07,2.637291932665396
2017-06-12,2.63906315575455
2017-06-15,2.624071593202372
2017-06-20,2.7053580532660164
2017-06-23,2.654037364496993
2017-06-28,2.609427868060537
2017-07-03,2.419199437318469
2017-07-07,2.4529207068809478
2017-07-12,2.716163423788593
2017-07-17,2.7452454763230896
2017-07-20,2.7992311255682814
2017-07-25,2.763630681948415
2017-07-28,2.7338474845265694
2017-08-02,2.655776552398278
2017-08-07,2.6298855196285222
2017-08-10,2.502647917568063
2017-08-15,2.557324492578569
2017-08-18,2.47339744610996
2017-08-23,2.5414401394799246
2017-08-28,2.528717610434277
2017-08-31,2.5972353271017994
2017-09-06,2.5288854558475897
2017-09-11,2.533473469566946
2017-09-14,2.5394698564771634
2017-09-19,2.8085577190731787
2017-09-22,2.683383142322386
2017-09-27,2.6343626793313564
2017-10-02,2.683383142322386
2017-10-05,2.7043969269528167
2017-10-10,2.777883771180593
2017-10-13,2.8618615154279525
2017-10-18,2.9058358508569553
2017-10-23,2.891717000685771
2017-10-26,2.8636491677595237
2017-10-31,3.2548709440692356
